epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,377.753,0.83792,0.67943,1.02408,0.91705,0.88276,0.93318,0.80328,0.61322,0.41648,0.8691,3.84106e-05,3.84106e-05,3.84106e-05
64,383.587,0.81733,0.73314,1.03131,0.91537,0.88385,0.9316,0.80207,0.61116,0.41665,0.8679,3.6701e-05,3.6701e-05,3.6701e-05
65,389.421,0.82162,0.72536,1.03405,0.92198,0.88834,0.93535,0.80628,0.6091,0.41403,0.86633,3.50145e-05,3.50145e-05,3.50145e-05
66,395.203,0.80217,0.70358,1.02547,0.92381,0.88863,0.93583,0.80859,0.6075,0.41406,0.86551,3.33527e-05,3.33527e-05,3.33527e-05
67,400.978,0.88373,0.76644,1.06428,0.92344,0.89056,0.93584,0.80953,0.60515,0.40961,0.86446,3.17173e-05,3.17173e-05,3.17173e-05
68,406.722,0.79222,0.6386,0.99619,0.92225,0.88989,0.93541,0.80995,0.60213,0.40572,0.86355,3.01099e-05,3.01099e-05,3.01099e-05
69,412.474,0.80934,0.679,1.04436,0.92388,0.88688,0.9356,0.81088,0.59938,0.40365,0.86317,2.85321e-05,2.85321e-05,2.85321e-05
70,418.206,0.78181,0.67954,1.01804,0.92241,0.88513,0.9346,0.81085,0.59877,0.40385,0.86296,2.69855e-05,2.69855e-05,2.69855e-05
71,423.808,0.79216,0.66935,1.02653,0.92595,0.88433,0.93512,0.81013,0.595,0.40054,0.86207,2.54715e-05,2.54715e-05,2.54715e-05
72,429.558,0.81201,0.66828,1.03671,0.92661,0.88254,0.93339,0.80941,0.59399,0.39975,0.86147,2.39917e-05,2.39917e-05,2.39917e-05
73,435.221,0.78227,0.67339,1.02963,0.92637,0.89065,0.9356,0.81293,0.5945,0.40126,0.86144,2.25475e-05,2.25475e-05,2.25475e-05
74,441.072,0.77817,0.66608,1.02382,0.92588,0.89156,0.93392,0.81048,0.59203,0.4009,0.86078,2.11404e-05,2.11404e-05,2.11404e-05
75,446.659,0.83228,0.74222,1.06016,0.93101,0.89236,0.93751,0.8158,0.59394,0.4009,0.86114,1.97718e-05,1.97718e-05,1.97718e-05
76,452.366,0.7885,0.6939,1.03339,0.92486,0.89374,0.93498,0.81112,0.59378,0.39925,0.86131,1.84429e-05,1.84429e-05,1.84429e-05
77,458.081,0.80356,0.71306,1.04282,0.92019,0.8956,0.93457,0.81035,0.59266,0.39924,0.86066,1.71551e-05,1.71551e-05,1.71551e-05
78,463.691,0.76565,0.67527,1.02711,0.92645,0.8889,0.93432,0.80989,0.58938,0.39817,0.86002,1.59097e-05,1.59097e-05,1.59097e-05
79,469.508,0.76081,0.67665,1.02807,0.92799,0.88887,0.93521,0.8108,0.58667,0.39625,0.85913,1.47079e-05,1.47079e-05,1.47079e-05
80,475.508,0.82888,0.76003,1.05282,0.927,0.89019,0.93498,0.81333,0.58538,0.39426,0.85889,1.35509e-05,1.35509e-05,1.35509e-05
81,481.313,0.80766,0.72701,1.04051,0.93804,0.88193,0.93487,0.8128,0.58563,0.39342,0.85885,1.24399e-05,1.24399e-05,1.24399e-05
82,487.054,0.79312,0.69938,1.04586,0.93512,0.88191,0.93548,0.81409,0.58598,0.3941,0.85888,1.13758e-05,1.13758e-05,1.13758e-05
83,492.755,0.81068,0.70843,1.03133,0.93653,0.88091,0.93551,0.81286,0.58464,0.39389,0.85852,1.03599e-05,1.03599e-05,1.03599e-05
84,498.455,0.78494,0.66633,1.01669,0.93644,0.88144,0.93567,0.8144,0.58418,0.39279,0.8585,9.39299e-06,9.39299e-06,9.39299e-06
85,504.07,0.78682,0.73329,1.03907,0.93621,0.88013,0.93568,0.8142,0.58098,0.39149,0.85793,8.47616e-06,8.47616e-06,8.47616e-06
86,509.842,0.83473,0.73431,1.05468,0.93549,0.88068,0.93583,0.81369,0.58026,0.39056,0.85839,7.61026e-06,7.61026e-06,7.61026e-06
87,515.558,0.80652,0.67675,1.03945,0.93856,0.87844,0.93644,0.81623,0.58081,0.39125,0.85769,6.79616e-06,6.79616e-06,6.79616e-06
88,521.345,0.7749,0.66029,1.02213,0.93161,0.88486,0.9365,0.81694,0.58046,0.39133,0.85775,6.03466e-06,6.03466e-06,6.03466e-06
89,527.149,0.7839,0.63705,1.01844,0.93353,0.88345,0.9367,0.81578,0.58198,0.39152,0.85819,5.32652e-06,5.32652e-06,5.32652e-06
90,532.943,0.7795,0.70118,1.03843,0.93195,0.88263,0.93593,0.81479,0.58036,0.39155,0.85767,4.67242e-06,4.67242e-06,4.67242e-06
